,Visit,Values,Arm
4732,0m,37.6180281899601,AZM
4731,0m,50.7558199217836,AZM
4730,0m,45.0541188562064,AZM
4729,0m,100.217723123355,AZM
4728,0m,36.0037909541501,AZM
4727,0m,41.4381572700798,AZM
4726,0m,36.4170141996451,AZM
4725,0m,33.9637081869659,AZM
4724,0m,49.7346245676511,AZM
4723,0m,43.6508295365067,AZM
4722,0m,57.7583057129194,AZM
4721,0m,37.5566760394809,AZM
4720,0m,41.246017240223,AZM
4719,0m,26.552630678714,AZM
4718,0m,35.1001130279883,AZM
4717,0m,61.4573973465867,AZM
4716,0m,46.6332125368214,AZM
4715,0m,29.9298216577999,AZM
4714,0m,33.5366292153139,AZM
4735,0m,101.854756891033,AZM
4736,0m,41.3992432457853,AZM
4737,0m,58.6554965980703,AZM
4738,0m,38.75572376984,AZM
4760,0m,37.604937192682,AZM
4759,0m,39.067860122818,AZM
4758,0m,17.6135549315363,AZM
4757,0m,30.797132941897,AZM
4756,0m,55.2578864499043,AZM
4755,0m,54.2293564976268,AZM
4754,0m,43.0516464274366,AZM
4753,0m,45.7048511487312,AZM
4752,0m,44.9411162179282,AZM
4751,0m,28.6314262942292,AZM
4762,0m,33.202934407305,AZM
4750,0m,35.0639434194825,AZM
4748,0m,37.7494557691095,AZM
4747,0m,41.6726987193441,AZM
4746,0m,24.7278626022672,AZM
4745,0m,33.4442614144213,AZM
4744,0m,26.0270347080146,AZM
4743,0m,42.4059106866213,AZM
4742,0m,72.4840830386546,AZM
4741,0m,30.1585011678913,AZM
4740,0m,30.0253233693989,AZM
4739,0m,42.496913133484,AZM
4749,0m,37.7176309780308,AZM
4813,0m,49.8452036175932,AZM
4814,0m,56.9043836666153,AZM
4815,0m,46.3054432327901,AZM
4888,0m,46.1203585339898,AZM
4887,0m,38.1410157940943,AZM
4886,0m,28.4374367467859,AZM
4885,0m,33.8644750503363,AZM
4884,0m,33.0718045863279,AZM
4883,0m,28.2970437686826,AZM
4882,0m,39.5972869367538,AZM
4881,0m,27.6869998934655,AZM
4880,0m,37.0709663333446,AZM
4879,0m,25.9642468263975,AZM
4878,0m,40.2956827150272,AZM
4877,0m,36.262256614015,AZM
4876,0m,19.399175231291,AZM
4875,0m,19.505821508737,AZM
4874,0m,30.9824741525893,AZM
4873,0m,32.524708887491,AZM
4872,0m,33.693749232322,AZM
4871,0m,66.4792322195762,AZM
4870,0m,56.0191037936204,AZM
4869,0m,25.1082542005791,AZM
4868,0m,45.0179942938579,AZM
4889,0m,18.8978511548988,AZM
4890,0m,28.4145435773013,AZM
4891,0m,44.6124470616639,AZM
4892,0m,55.5345691373374,AZM
4914,0m,28.0066479529674,AZM
4913,0m,38.7607489021285,AZM
4912,0m,53.3534738066718,AZM
4911,0m,46.4516685343331,AZM
4910,0m,28.739558628698,AZM
4909,0m,26.9356209711419,AZM
4908,0m,39.8595395235924,AZM
4907,0m,27.6734958575672,AZM
4906,0m,32.840851817648,AZM
4905,0m,27.7736862180069,AZM
4867,0m,40.0023235673077,AZM
4904,0m,18.3010577182142,AZM
4902,0m,40.0937831216169,AZM
4901,0m,51.1797995069671,AZM
4900,0m,32.6322113538142,AZM
4899,0m,28.6530159166455,AZM
4898,0m,32.1216065528284,AZM
4897,0m,36.6009083018271,AZM
4896,0m,32.0928260202944,AZM
4895,0m,26.1885077411204,AZM
4894,0m,26.3172222923465,AZM
4893,0m,36.4012923916889,AZM
4903,0m,28.009173712359,AZM
4866,0m,23.4328267114883,AZM
4865,0m,54.4386646602978,AZM
4864,0m,38.9997161485923,AZM
4837,0m,37.0808405696358,AZM
4836,0m,40.1760025780671,AZM
4835,0m,51.035768477196,AZM
4834,0m,42.3454399545304,AZM
4833,0m,45.4906066393767,AZM
4832,0m,96.5872901273188,AZM
4831,0m,79.2874797840476,AZM
