,Group,Values
12159,AZM,0.457836498761354
12158,AZM,0.336517945288367
12157,AZM,0.450927682901117
12156,AZM,0.402526960627911
12155,AZM,0.419481945610749
12154,AZM,0.343685609340938
12127,AZM,0.293529503186033
12153,AZM,0.63900140311863
12151,AZM,0.478676358460835
12150,AZM,0.676355985037406
12149,AZM,0.759323116219668
12148,AZM,0.903430374893077
12147,AZM,0.4952455109601
12146,AZM,0.339239220168921
12152,AZM,0.275442262153503
12058,AZM,0.445599510795428
12057,AZM,0.786592865928659
12056,AZM,0.387996337301257
11956,AZM,0.367571428571429
11957,AZM,0.574976715305806
11958,AZM,0.336182745492421
11959,AZM,0.597339544803974
11960,AZM,0.460251346499102
11961,AZM,0.35523507355062
11962,AZM,0.405965056768045
11963,AZM,0.460544856740254
11964,AZM,0.549273735415178
11965,AZM,0.435924966841407
11966,AZM,0.435129566756623
11967,AZM,0.33710381476561
11968,AZM,0.426105717367853
11969,AZM,0.693447053455477
11955,AZM,0.47020166408123
11970,AZM,0.712938185710463
11972,AZM,0.294347588147917
11973,AZM,0.31596821523954
11974,AZM,0.540792128269564
11975,AZM,0.342075308473342
11976,AZM,0.683291197425879
11977,AZM,0.420491904585342
11978,AZM,0.28929173693086
11979,AZM,0.483833678985483
11980,AZM,0.41156832861601
11981,AZM,0.375835609312004
11982,AZM,0.773283945673574
11983,AZM,0.539585159217061
11984,AZM,0.444587628865979
11985,AZM,0.5489974583451
11971,AZM,0.458853067656722
11954,AZM,0.376844867169564
11953,AZM,0.319424510799174
11952,AZM,0.435089718029052
11921,AZM,0.385672837800497
11922,AZM,0.54349770770435
11923,AZM,0.422678062678063
11924,AZM,0.586418699880566
11925,AZM,0.46496606446113
11926,AZM,0.27301025390625
11927,AZM,0.481371087928465
11928,AZM,0.529201734251466
11929,AZM,0.463426835804895
11930,AZM,0.849694184435508
11931,AZM,0.878766372024002
11932,AZM,0.462286915233128
11933,AZM,0.251611452555839
11934,AZM,0.514364799083707
11935,AZM,0.435121785045137
11936,AZM,0.442792109256449
11937,AZM,0.855888969865965
11951,AZM,0.218815771011646
11950,AZM,0.341439135381115
11949,AZM,0.486706032036016
11948,AZM,0.67406050545236
11947,AZM,0.439339402921872
11946,AZM,0.501698071866784
11986,AZM,0.451609875152539
11945,AZM,0.406219886114761
11943,AZM,0.938588303453603
11942,AZM,0.367486787872658
11941,AZM,0.403070481507327
11940,AZM,0.461576273963624
11939,AZM,0.337120296511159
11938,AZM,0.569940082296605
11944,AZM,0.754756722600576
11987,AZM,0.608535035611904
11988,AZM,0.332408378735068
11989,AZM,0.324354325464368
12025,AZM,0.627374172948418
12026,AZM,0.532382650029709
12027,AZM,0.683746441713532
12028,AZM,0.519983686786297
12029,AZM,0.421050238690611
12030,AZM,0.358569832402235
12031,AZM,0.548262415018808
12032,AZM,0.365516626548988
12033,AZM,0.382673174394594
12034,AZM,0.353287059551704
12035,AZM,0.414137658595529
12036,AZM,0.418039341116264
12037,AZM,0.226690616372285
12038,AZM,0.433314854258454
12039,AZM,0.323792008025414
12040,AZM,0.518622665534805
12041,AZM,0.432621268344867
12055,AZM,0.497493072964771
12054,AZM,0.349592491973327
12053,AZM,0.218665219750407
12052,AZM,0.399473444382563
