,Group,Values
11725,AZM,46.6289414974138
11726,AZM,50.4618766203395
11727,AZM,33.0748929089182
11728,AZM,44.4381702476843
11729,AZM,36.8705150108108
11743,AZM,44.8479688950821
11742,AZM,46.8784898559307
11741,AZM,38.4922029101577
11740,AZM,44.1418595999886
11739,AZM,44.5407512959883
11738,AZM,50.1833464061496
11745,AZM,40.7239383225747
11737,AZM,38.6287155333818
11735,AZM,36.0299319291909
11734,AZM,36.7133276956704
11733,AZM,49.5801683002511
11732,AZM,51.3371612012287
11731,AZM,40.3524277479054
11730,AZM,44.8474730382079
11736,AZM,44.1882549088004
11643,AZM,40.6106405656639
11918,AZM,67.6805795040597
11920,AZM,56.559774472067
12095,AZM,55.109586862772
12096,AZM,53.0629782188375
12097,AZM,49.8681173288358
12098,AZM,62.5584912789717
12099,AZM,62.2975110084611
12100,AZM,46.5370660828145
12101,AZM,48.0245291697215
12102,AZM,56.7203864747393
12103,AZM,25.2219184943369
12104,AZM,63.6321070723226
12105,AZM,65.5635376415438
12106,AZM,53.6679924962448
12107,AZM,62.1433982617752
12108,AZM,77.2167459640375
12094,AZM,64.706594068163
12109,AZM,52.3796432256719
12111,AZM,49.9348080943999
12112,AZM,51.5501886023893
12113,AZM,45.8859331103109
12114,AZM,57.3665973356876
12115,AZM,54.9997313412037
12116,AZM,44.6516173855208
12117,AZM,44.6466683527027
12118,AZM,39.7135688740025
12119,AZM,44.2978183346035
12120,AZM,47.8446614337598
12121,AZM,36.9536512258342
12122,AZM,33.2940253806565
12123,AZM,36.0919125782674
12124,AZM,27.6141629371257
12110,AZM,56.5425050743827
12093,AZM,71.0046627665547
12092,AZM,56.2132593247125
12091,AZM,53.2167061217473
12060,AZM,38.8225473630205
12061,AZM,39.4790164928063
12062,AZM,42.4491811710951
12063,AZM,52.5428005286215
12064,AZM,41.1588547551509
12065,AZM,48.4309551956273
12066,AZM,53.7707340371624
12067,AZM,37.0050787080662
12068,AZM,40.8726370706817
12069,AZM,39.7110744761686
12070,AZM,37.0241424535326
12071,AZM,31.5388427113084
12072,AZM,34.0263293601344
12073,AZM,37.1645252883012
12074,AZM,37.8283333127652
12075,AZM,42.4113836920864
12076,AZM,38.4102453265616
12090,AZM,53.8977659994725
12089,AZM,52.0486838855669
12088,AZM,46.2274561272462
12087,AZM,30.9767858905179
12086,AZM,53.907293495386
12085,AZM,54.7605096440395
12125,AZM,33.3657293738129
12084,AZM,37.9523610396606
12082,AZM,56.0935520764685
12081,AZM,48.1201508936954
12080,AZM,62.7849644352058
12079,AZM,33.0640388078043
12078,AZM,48.454105378425
12077,AZM,38.415195229755
12083,AZM,52.6827135728833
12059,AZM,40.8178454571935
12126,AZM,37.7004866399039
12128,AZM,33.387843542208
12164,AZM,47.0817307288523
12165,AZM,41.5204228207597
12166,AZM,38.1351869001303
12167,AZM,50.5540126207753
12168,AZM,37.3875383250634
12169,AZM,42.5911790922579
12170,AZM,28.3921189391369
12171,AZM,51.9946326126745
12172,AZM,32.0395484819945
12173,AZM,43.3275739912186
12174,AZM,45.9437230141665
12175,AZM,32.616388041541
12176,AZM,43.0406655203464
12177,AZM,31.4075777323142
12163,AZM,42.2141980572047
12178,AZM,22.4372928168521
12180,AZM,39.5220197141283
12181,AZM,43.5287449521569
12182,AZM,25.3698367659216
12183,AZM,39.3333172688349
12184,AZM,48.7650750863054
12185,AZM,26.278642680805
12186,AZM,36.3044610521384
12187,AZM,53.7109348688007
12188,AZM,32.831852826983
12189,AZM,29.3540312156183
12190,AZM,46.6679091419424
12191,AZM,40.8522135686857
12192,AZM,33.1009582200837
12193,AZM,30.2017199565414
12179,AZM,29.2604096219056
12162,AZM,34.0646556698865
12161,AZM,30.4572553202154
12160,AZM,48.4925484077304
12129,AZM,29.3314282784919
12130,AZM,42.2769105285134
12131,AZM,28.5083987865539
12132,AZM,30.4690347632233
12133,AZM,36.5459903418337
12134,AZM,37.6549723632303
12135,AZM,32.2209577072085
12136,AZM,45.2118784447535
12137,AZM,42.5403174803528
12138,AZM,43.2403726424988
12139,AZM,32.6495242423189
12140,AZM,56.0526076555246
