"Estimate","Std..Error","t.value","Pr...t.."
"mu.visitWeek 72",-0.929772226772164,0.837417091078463,-1.11028570670174,0.268040402495159
"phi.(Intercept)",-1.07346794665134,0.996295432131044,-1.07745946837799,0.282408748065824
"Estimate","Std..Error","t.value","Pr...t.."
"mu.(Intercept)",-7.81121541846464,0.216098635365357,-36.1465282057809,1.34750531548078e-96
"mu.visitWeek 72",0.29311385692732,0.210496791644865,1.39248610221975,0.165125837046476
"phi.(Intercept)",-5.66001886866417,0.220796079483829,-25.6345985938519,3.15047279749151e-69
"Estimate","Std..Error","t.value","Pr...t.."
"mu.(Intercept)",-7.55620381776851,0.191004521591847,-39.560340010773,2.44823127791084e-104
"mu.visitWeek 72",-0.344078951130113,0.206216644691444,-1.66853142065689,0.096576919948929
"phi.(Intercept)",-5.82286794163492,0.213026917914668,-27.3339538431823,4.79510772941554e-74
"Estimate","Std..Error","t.value","Pr...t.."
"mu.(Intercept)",-7.1815664808032,0.279258598166567,-25.7165456245672,1.82994823194657e-69
"mu.visitWeek 72",-0.173122653579123,0.25388752690742,-0.681887195042284,0.495999356073261
"phi.(Intercept)",-4.55487817117999,0.292248782436672,-15.5856189825769,8.09330869401987e-38
"Estimate","Std..Error","t.value","Pr...t.."
"mu.(Intercept)",-7.41847822748377,1.06459545816393,-6.96835419557222,3.37911470279418e-11
"mu.visitWeek 72",0.288929521715085,0.764241597539276,0.378060449268121,0.705735892600396
"phi.(Intercept)",-1.69666778491171,1.03778574720687,-1.63489216293265,0.103445488561801
"Estimate","Std..Error","t.value","Pr...t.."
"mu.(Intercept)",-9.09248214030918,0.651082912489242,-13.9651678240894,1.78957955725995e-32
"mu.visitWeek 72",1.02622233764447,0.526295825398971,1.94989640449175,0.0524089901342477
"phi.(Intercept)",-4.29292986357697,0.585055900471159,-7.33764048891701,3.74687852730008e-12
"Estimate","Std..Error","t.value","Pr...t.."
"mu.(Intercept)",-6.9045112417368,0.602653112753371,-11.4568581753304,2.54829976058021e-24
"mu.visitWeek 72",-1.59296449264894,0.636390849049571,-2.50312287649639,0.0130082430497994
"phi.(Intercept)",-2.96306931089659,0.645984777311988,-4.5869026871287,7.40764185422682e-06
"Estimate","Std..Error","t.value","Pr...t.."
"mu.(Intercept)",-7.37243556083811,0.482465185464937,-15.2807617688176,8.20017644515653e-37
"mu.visitWeek 72",-0.951559574823232,0.449161895405813,-2.11852248500178,0.0352083047689729
"phi.(Intercept)",-3.80195753650113,0.516713276150689,-7.35796371408187,3.3132757972733e-12
"Estimate","Std..Error","t.value","Pr...t.."
"mu.(Intercept)",-7.94354027739371,0.613986724783067,-12.9376417384273,4.20011550444341e-29
"mu.visitWeek 72",-0.533339825694201,0.51646874827181,-1.0326662116127,0.302849483973715
"phi.(Intercept)",-3.78637561242876,0.643910391872475,-5.8802834372933,1.43895705140823e-08
"Estimate","Std..Error","t.value","Pr...t.."
"mu.(Intercept)",-9.43295911190985,0.785849641398858,-12.0035164680086,4.51288583370313e-26
"mu.visitWeek 72",1.46056417648223,0.645587173382305,2.26238103342445,0.0246119280552979
"phi.(Intercept)",-4.06617420316907,0.651137713020725,-6.2447223096716,2.04196572311839e-09
"Estimate","Std..Error","t.value","Pr...t.."
"mu.(Intercept)",-8.86423756299285,0.477341363334637,-18.5700176935612,1.41262275964826e-47
"mu.visitWeek 72",1.34599331308339,0.402537551562986,3.34377080562329,0.000965433779410089
"phi.(Intercept)",-4.60425299582257,0.403017611128395,-11.4244461499617,3.23212565882745e-24
"Estimate","Std..Error","t.value","Pr...t.."
"mu.(Intercept)",-7.72007526950601,0.560379183122891,-13.7765204383279,7.47232307439252e-32
"mu.visitWeek 72",-0.561850551504305,0.475662774150741,-1.18119512822387,0.238750489655943
