"","ASVs","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"51","ASV_205",1.8478898476948,-2.8242196003919e-06,0.00144269554404808,0.0049587829908765,0.042976119254263
"52","ASV_209",1.93327452100554,-4.82217559807076e-06,0.00144269787243407,4.02969744243212e-05,0.000838177068025882
"53","F0058",5.00034108226271,3.00136557933647,0.637163444430932,2.45678303315327e-07,8.51684784826467e-06
"54","ASV_214",0.236789641388454,-4.79058571757959e-07,0.00144269501978922,0.522848385806545,0.947813823519347
"55","ASV_216",1.01786238825994,-1.47237578843147e-06,0.00144269480871685,0.482749994663727,0.912836353545956
"56","Conchiformibius",6.04017553233706,7.80145836747162e-07,0.00144269345883686,0.423106619554169,0.862805655561443
"57","Hydrogenophaga",0.359760418542435,-6.63677608813536e-08,0.00144269467787966,0.362729275393152,0.799996985011287
"58","Catonella",4.1719275735103,1.84175286943745e-06,0.00144269077205187,0.590117466932253,0.947813823519347
"59","Candidatus_Saccharimonas",4.60336398294221,1.77355424339119,0.623956521034428,0.000204365074562131,0.00354232795907693
"60","ASV_239",1.27923158643488,-5.1884799171929e-07,0.00144269427558195,0.968256643182266,0.999177050006185
"61","ASV_242",0.164571889957899,-3.5553086439789e-07,0.00144269506027423,0.61556524636159,0.969981600327354
"62","Mogibacterium",2.18928086587841,2.9927276249028e-06,0.00144269316727231,0.0794176322706829,0.344143073172959
"63","Selenomonas",2.26582204601886,-1.78750183816367e-07,0.00144269207932391,0.673941061051163,0.98032521778069
"64","ASV_260",0.803241775256475,2.25819899729467e-07,0.00144269485090056,0.986394594724429,0.999177050006185
"65","Cardiobacterium",2.44616819427941,1.46462212372736e-06,0.001442692732305,0.246247766138007,0.668057011169794
"66","ASV_269",0.0323144341994076,-3.57519120676979e-07,0.0014426950605249,0.872575873636269,NA
"67","ASV_280",0.662201415923913,-5.91165286326781e-07,0.00144269509721135,0.178287260222612,0.545349266563283
"68","ASV_283",1.18252046885243,-1.17391378139188e-07,0.0014426944278726,0.978448883783738,0.999177050006185
"69","Comamonas",0.769278347826565,-1.1011060441136e-06,0.00144269488504436,0.256945004296075,0.668057011169794
"70","ASV_286",0,1.86873151599933e-07,0.00144269491967272,1,NA
"71","Capnocytophaga",6.43861995406768,5.21162109979872e-06,0.00144269472898451,0.00835440980655149,0.0620613299915254
