"Estimate","Std..Error","t.value","Pr...t.."
"mu.(Intercept)",-8.75830598897048,0.491627286495039,-17.8149305979559,2.01516458493482e-48
"mu.visitWeek 48",-0.0993799037496107,0.417389282017812,-0.238098839695097,0.811973160085111
"phi.(Intercept)",-4.72714363945475,0.507006409941138,-9.32363683528884,3.02691638643017e-18
"Estimate","Std..Error","t.value","Pr...t.."
"mu.(Intercept)",-8.93255454800851,1.05802212421873,-8.44269164466154,1.52230611889631e-15
"mu.visitWeek 48",-22.3030255136069,30726.8234339975,-0.000725848721769587,0.999421357333957
"phi.(Intercept)",-3.81682675097976,1.16437271861862,-3.27801114707319,0.00117310565239604
"Estimate","Std..Error","t.value","Pr...t.."
"mu.(Intercept)",-8.78094782217015,0.270418569347509,-32.4716895121428,1.98096517353215e-98
"mu.visitWeek 48",0.529261494865762,0.251205673016355,2.10688512130578,0.0359892455320621
"phi.(Intercept)",-5.85746451957534,0.264205089109447,-22.1701426695414,2.63811325087522e-64
"Estimate","Std..Error","t.value","Pr...t.."
"mu.(Intercept)",-7.96776899197836,0.287712810102164,-27.6934801378815,2.65782043117244e-83
"mu.visitWeek 48",-0.288186929200538,0.266555800018397,-1.08115047273647,0.280531530300391
"phi.(Intercept)",-5.09341206271798,0.304674271767111,-16.7175653959101,2.33074220758159e-44
"Estimate","Std..Error","t.value","Pr...t.."
"mu.(Intercept)",-8.58264957142138,0.803971877360683,-10.6753106832504,1.20419698505543e-22
"mu.visitWeek 48",0.185891975066555,0.605625336170846,0.306942203313163,0.759108409531531
"phi.(Intercept)",-3.39964231818794,0.801136718415471,-4.24352328390581,2.96724066327124e-05
"Estimate","Std..Error","t.value","Pr...t.."
"mu.(Intercept)",-8.36991856081576,0.290944687639167,-28.768074883004,8.20438620988214e-87
"mu.visitWeek 48",0.165447438303458,0.262772262474736,0.629622916609644,0.529438757289199
"phi.(Intercept)",-5.35860594387839,0.295969014296895,-18.1052937470779,1.70131640151527e-49
"Estimate","Std..Error","t.value","Pr...t.."
"mu.(Intercept)",-8.58568031317472,1.82237185521409,-4.71126696157524,3.82977725842889e-06
"mu.visitWeek 48",-21.7502874380235,37144.4007450874,-0.000585560326771462,0.999533194467559
"phi.(Intercept)",-2.30332396025669,1.96030323137365,-1.174983504283,0.240968486556238
"Estimate","Std..Error","t.value","Pr...t.."
"mu.(Intercept)",-8.24633071474063,0.737207471902305,-11.1859022446715,2.24885590294148e-24
"mu.visitWeek 48",-21.8329375520212,16962.5914642062,-0.00128712276058126,0.998973912906867
"phi.(Intercept)",-3.85541576495951,0.814043115149478,-4.73613214485766,3.41874070310173e-06
"Estimate","Std..Error","t.value","Pr...t.."
"mu.(Intercept)",-9.14713914723241,0.558051248051287,-16.3912170775967,3.76789714723766e-43
"mu.visitWeek 48",-0.00774418422017495,0.471384656787383,-0.0164285877969676,0.986903808864474
"phi.(Intercept)",-4.83659320850058,0.57135057772647,-8.46519352049392,1.3042764601247e-15
"Estimate","Std..Error","t.value","Pr...t.."
"mu.(Intercept)",-8.63211055681583,0.462682513007379,-18.6566604834667,1.56943327464407e-51
"mu.visitWeek 48",-1.5218859927723,0.55574324668461,-2.73846961137431,0.00655583815755215
"phi.(Intercept)",-5.04312140021079,0.515209162965555,-9.7884932231843,9.98906423035912e-20
"Estimate","Std..Error","t.value","Pr...t.."
"mu.(Intercept)",-9.81402623993071,1.52863313968235,-6.4201318060984,5.5729278472491e-10
"mu.visitWeek 48",1.10757228434034,1.15478671756735,0.959114152848525,0.338302941767572
"phi.(Intercept)",-2.92553495764362,1.36442026228547,-2.14415971274365,0.0328541760664642
"Estimate","Std..Error","t.value","Pr...t.."
"mu.(Intercept)",-7.76682875342469,0.215394975597224,-36.0585419037266,5.53447641779256e-109
"mu.visitWeek 48",0.4248824206606,0.199209237927212,2.13284496784153,0.0337799973152438
"phi.(Intercept)",-5.3092070716122,0.213521534421085,-24.8649724535135,9.13533300266983e-74
"Estimate","Std..Error","t.value","Pr...t.."
"mu.(Intercept)",-7.97274679829472,0.354217479284578,-22.5080558260351,1.64676773633184e-65
"mu.visitWeek 48",-0.221308935285696,0.309870963803514,-0.714197072772607,0.475681758410386
"phi.(Intercept)",-4.63796134646212,0.369555892755877,-12.5500944170464,3.93130838095728e-29
"Estimate","Std..Error","t.value","Pr...t.."
"mu.(Intercept)",-9.29914576885969,0.370486692177321,-25.0998105065781,1.42244182938723e-74
"mu.visitWeek 48",-0.0536433285845135,0.348094798698392,-0.154105516040741,0.877634097617505
"phi.(Intercept)",-5.89072412201934,0.387678238380744,-15.1948795130306,9.92510581913678e-39
"Estimate","Std..Error","t.value","Pr...t.."
"mu.(Intercept)",-9.40461996683104,0.574798043593794,-16.3616074752635,4.84984936474656e-43
"mu.visitWeek 48",-0.946193557118533,0.591600941674181,-1.59937804432982,0.110829259245065
"phi.(Intercept)",-5.29638857584923,0.629253624490801,-8.41693773339029,1.81639208247149e-15
"Estimate","Std..Error","t.value","Pr...t.."
"mu.(Intercept)",-8.03372499322648,0.326988068126577,-24.5688628311557,9.61906150872221e-73
"mu.visitWeek 48",0.0202600168725012,0.282609429096531,0.0716891044197288,0.942898912950078
"phi.(Intercept)",-4.79464204003134,0.334914820056039,-14.3160044074165,1.67054077579478e-35
"Estimate","Std..Error","t.value","Pr...t.."
"mu.(Intercept)",-7.41226358391957,0.284870991476456,-26.0197205250791,1.03881028189098e-77
"mu.visitWeek 48",0.826419567060782,0.234684077274144,3.52141302750339,0.000498632422831304
"phi.(Intercept)",-4.1388802217327,0.264189097727961,-15.6663551120288,1.80849954313262e-40
"Estimate","Std..Error","t.value","Pr...t.."
"mu.(Intercept)",-8.36348706648305,0.289198659179355,-28.9195222765407,2.65678230130821e-87
"mu.visitWeek 48",0.215503613034695,0.26084143657965,0.826186268027586,0.409379975640129
"phi.(Intercept)",-5.34970053756811,0.292569195692118,-18.2852488106704,3.68160277939479e-50
"Estimate","Std..Error","t.value","Pr...t.."
"mu.(Intercept)",-9.68328269723711,0.419833204406179,-23.0645946904875,1.75206557136786e-67
"mu.visitWeek 48",0.647059057219877,0.375212902869501,1.72451174325667,0.0856847277332983
"phi.(Intercept)",-5.80517403317058,0.39958864617898,-14.5278753254925,2.80253779900498e-36
"Estimate","Std..Error","t.value","Pr...t.."
"mu.(Intercept)",-8.82643991493238,1.17460528612517,-7.51438804098131,7.19879059940517e-13
"mu.visitWeek 48",-0.413035939908624,0.912965511170731,-0.452411328637127,0.651312091585739
"phi.(Intercept)",-3.06924958651081,1.21345817125302,-2.52934106772011,0.011959490099236
"Estimate","Std..Error","t.value","Pr...t.."
"mu.(Intercept)",-9.34639390712605,0.405513967009127,-23.0482663175833,2.00096483842237e-67
"mu.visitWeek 48",0.772977064049694,0.35342673160018,2.18709281142927,0.029537142818322
"phi.(Intercept)",-5.46599858074588,0.378522147692595,-14.4403666048754,5.86119676601748e-36
"Estimate","Std..Error","t.value","Pr...t.."
