"","average","sd","ratio","ava","avb","cumsum","p"
"Hyphomicrobium",3.22065523289522e-05,0.000266393889400818,0.120898239825967,4.3612458827248e-05,2.10895436894155e-05,0.998553661430191,0.108910891089109
"ASV_525",3.05551114818724e-05,0.000230147721545056,0.132763041392485,3.3059148205135e-05,2.85289191934979e-05,0.998614273022863,1
"ASV_461",2.93349007336551e-05,0.000134060591088554,0.218818226112981,5.75797125218577e-05,1.23695247071979e-06,0.998672464106714,0.0099009900990099
"ASV_543",2.83680905378161e-05,0.00024201644382245,0.117215549860024,3.04939935935305e-05,2.6606662308242e-05,0.998728737347594,1
"Fretibacterium",2.6442252137833e-05,0.000156052356079464,0.169444747917604,4.69515007448592e-05,6.31195711908812e-06,0.998781190339522,0.0495049504950495
"Amnipila",2.60963227999783e-05,0.000107856163941144,0.241954857714195,5.03298011873125e-05,2.12480690817222e-06,0.998832957118011,0.0198019801980198
"ASV_485",2.52276640383529e-05,0.000159016049630389,0.158648539546738,5.04553280767057e-05,0,0.998883000754659,0.0693069306930693
"Delftia",2.46250339310932e-05,0.000226600604947293,0.108671527760577,3.71353609816171e-05,1.22829666983549e-05,0.998931848965442,0.653465346534653
"Sphingopyxis",2.4441470774067e-05,0.000232713504400863,0.105028158279827,3.84307805507433e-05,1.05973299001322e-05,0.998980333045486,0.346534653465347
"Pantoea",2.38631617346833e-05,0.000251878827833135,0.0947406415218518,4.51638991590047e-05,2.63460527685091e-06,0.999027669944904,1
"Prevotellaceae_YAB2003_group",2.34490817614355e-05,0.000173680468385161,0.135012773626531,1.59831558847849e-06,4.53655321366588e-05,0.999074185441766,0.297029702970297
"ASV_644",2.3142572168626e-05,0.000146389905173333,0.158088579545317,1.41654137099581e-05,3.26351355564568e-05,0.999120092921386,1
"ASV_613",2.22637181524598e-05,0.000202190643468631,0.110112504567571,1.40067792811721e-05,3.07125307125307e-05,0.999164257035034,1
"ASV_529",2.21370829592642e-05,0.000246451862655495,0.0898231513478506,3.49082452640618e-06,4.08311609061826e-05,0.999208169944862,1
"Olsenella",1.96982026072635e-05,0.000124154345494829,0.158658986350855,2.44577083647675e-05,1.52737339506467e-05,0.999247244894187,0.683168316831683
"ASV_639",1.81548730027511e-05,9.56878378737471e-05,0.189730204027654,2.86998123840381e-05,7.96802590564583e-06,0.999283258369972,0.148514851485149
"ASV_1054",1.60403421140447e-05,0.000101619932918502,0.157846415101541,0,3.20806842280894e-05,0.999315077291108,0.0594059405940594
"ASV_1272",1.58280722069857e-05,7.88428320585054e-05,0.200754739444677,3.84268703313469e-06,2.81280573582831e-05,0.999346475136472,0.128712871287129
"Bulleidia",1.54997053267655e-05,9.65026845094691e-05,0.160614239961839,2.62262307277334e-05,5.02879846006397e-06,0.999377221606709,0.396039603960396
"Family_XIII_UCG-001",1.49489879768227e-05,6.28107493283645e-05,0.238000471840764,2.60276555620922e-05,4.27946975767861e-06,0.99940687562943,0.0693069306930693
"Defluviitaleaceae_UCG-011",1.40700672257014e-05,8.96515067685499e-05,0.156941781938207,2.81401344514029e-05,0,0.999434786153797,0.0792079207920792
"ASV_1004",1.2549582919833e-05,8.94653387429277e-05,0.140273128075816,1.86656776209596e-05,6.61471323895166e-06,0.999459680522406,1
"ASV_860",1.21865286526767e-05,6.63664093878955e-05,0.183624950710372,1.61350083126162e-05,8.583270000824e-06,0.999483854707181,1
"ASV_1415",1.19730139345615e-05,7.23079439024167e-05,0.165583659116621,0,2.3946027869123e-05,0.999507605346876,0.0693069306930693
"Erysipelotrichaceae_UCG-006",1.17603819722087e-05,0.000100129084289419,0.11745220737479,2.35207639444174e-05,0,0.999530934192598,0.495049504950495
"Brevibacterium",1.08232403383057e-05,9.39158798306669e-05,0.115243985977881,0,2.16464806766114e-05,0.999552404048309,0.485148514851485
"ASV_1230",1.07506824965519e-05,7.65012030882333e-05,0.140529587281817,4.92301113866434e-06,1.67132308719372e-05,0.999573729972413,0.485148514851485
"ASV_1504",1.07414592954927e-05,7.48764981859484e-05,0.143455684436755,1.45945274608658e-05,7.07281605585827e-06,0.999595037600627,1
"Scardovia",1.06784832611038e-05,8.06035571847647e-05,0.132481538458978,0,2.13569665222077e-05,0.999616220304482,0.316831683168317
"Rikenellaceae_RC9_gut_group",1.00973419389064e-05,7.2050337830356e-05,0.140142881254504,2.01946838778129e-05,0,0.999636250209365,0.128712871287129
"ASV_854",1.00972136556667e-05,6.09009960891129e-05,0.165797184021292,7.84608135008723e-06,1.25633070941252e-05,0.999656279859775,1
"ASV_844",9.4373782641432e-06,5.95167652611753e-05,0.158566720196057,1.88747565282864e-05,0,0.999675000607286,0.099009900990099
"ASV_1398",9.41546311200655e-06,6.80698236162418e-05,0.138320662693182,0,1.88309262240131e-05,0.999693677882128,0.099009900990099
"ASV_817",9.39768319137682e-06,4.96487368429688e-05,0.189283429729546,1.37157652533935e-05,5.26748832461213e-06,0.999712319887279,0.188118811881188
