"","average","sd","ratio","ava","avb","cumsum","p"
"ASV_216",0.000187079935641457,0.00124714094486998,0.150007051256713,0.000276688976381986,0.000104101082995149,0.992237813073936,0.346534653465347
"ASV_426",0.00018499834704999,0.00222537481367427,0.0831313205816969,0.000364642610073419,5.42643651340601e-06,0.992580508038254,0.465346534653465
"ASV_260",0.000168329662964409,0.00105462824077113,0.159610426173804,4.46094055156718e-05,0.00029532166251183,0.992892325569399,0.841584158415842
"Shuttleworthia",0.000167666588991076,0.000849285216225394,0.197420826110999,9.56527475427139e-06,0.000326839632024711,0.993202914807885,0.386138613861386
"ASV_372",0.000158296865538737,0.00143390985332245,0.110395270087554,0.000208527187268866,0.000109526902508724,0.993496147366729,0.475247524752475
"ASV_331",0.000143123371726383,0.000346468948598032,0.41309148281693,8.83710547649041e-05,0.000216894577311901,0.993761272215404,0.099009900990099
"ASV_205",0.000137361902639725,0.000454941718362859,0.301932966565546,0.000230826739146253,5.28609382539644e-05,0.994015724393352,0.0099009900990099
"ASV_239",0.000131920534615279,0.000385779950576632,0.341957985162514,0.000138384894254326,0.000139913731371016,0.994260096862747,0.871287128712871
"Butyrivibrio",0.000122025449149971,0.000332386966337597,0.367118634327053,0.000113957273970994,0.000146627150640547,0.994486139460473,0.910891089108911
"ASV_209",0.000113297290108775,0.000392642955083628,0.288550421297241,0.000205399454525263,2.83622897957202e-05,0.994696013826435,0.0099009900990099
"Lactobacillus",0.000111588516651826,0.00100220853127371,0.1113426130089,0.000170440460132358,5.40586007789279e-05,0.994902722823256,0.514851485148515
"Filifactor",0.000108203836829877,0.000584033829763138,0.185269810267259,0.000206022216041663,1.23336582705517e-05,0.995103161965511,0.0099009900990099
"Carnobacterium",0.000103742854613966,0.000945586116613723,0.109712751478928,0,0.000207485709227932,0.995295337487223,1
"ASV_307",0.00010195098768243,0.000333825504005331,0.305402033275449,0.00016885460700594,4.07082316301481e-05,0.995484193715633,0.0099009900990099
"ASV_422",8.54917312818025e-05,0.000632239266746477,0.135220534026217,0.000169052061973646,2.14972282011388e-06,0.995642560459272,0.0198019801980198
"ASV_329",8.4914019868481e-05,0.000509915931194832,0.166525528373885,8.81881141009556e-05,8.36783316796835e-05,0.995799857037717,0.475247524752475
"Dialister",8.11232599324842e-05,0.000260582430491961,0.311315155742961,0.000118157693234356,4.97816077810946e-05,0.995950131529955,0.0693069306930693
"Peptococcus",7.73384757012756e-05,0.000220483460968126,0.350767696414454,0.000129117226516735,3.52579301258654e-05,0.996093395005513,0.0099009900990099
"ASV_339",7.50661187689794e-05,0.000478763304687714,0.156791713220259,4.96290230526812e-06,0.000145631857015346,0.996232449117634,0.554455445544555
"F0332",7.03874600712387e-05,0.000250153153997631,0.281377463951165,6.56214959976414e-05,8.02335440120087e-05,0.996362836380559,0.732673267326733
"Comamonas",6.86245331292637e-05,0.000228984500058722,0.299690735013354,0.000113129277177216,2.79006001475154e-05,0.996489957959249,0.0099009900990099
"Johnsonella",6.73779957061308e-05,0.000337566971687919,0.199598898462205,8.76190277344562e-05,5.10158048136571e-05,0.996614770424887,0.376237623762376
"ASV_653",6.30841581922992e-05,0.000562299668378932,0.112189570330294,4.04967602591793e-05,8.6252355051856e-05,0.996731628892465,0.811881188118812
"Hydrogenophaga",6.29902581569558e-05,0.000240359369845373,0.262066996587146,6.71355397202987e-05,6.28574855142168e-05,0.996848313417574,0.554455445544555
"Staphylococcus",6.27958370426631e-05,0.000512119405748132,0.12261952259147,4.63480338185993e-05,8.00130238781035e-05,0.996964637792779,0.683168316831683
"ASV_283",6.15454969611378e-05,0.000249453794441106,0.246721029435646,3.55893239664107e-05,9.02469812456919e-05,0.997078646010805,0.881188118811881
"ASV_409",6.07848695352107e-05,0.000242621426594319,0.250533806467339,3.70356583957953e-05,8.73751374512076e-05,0.997191245226034,0.792079207920792
"Centipeda",5.90859772949503e-05,0.000243771510222821,0.242382619859648,7.4122577481723e-05,4.67658895898766e-05,0.997300697376302,0.188118811881188
"Alysiella",5.87369863497858e-05,0.000300140218423722,0.195698486055155,6.13220313459099e-05,5.80955479393809e-05,0.997409503048149,0.554455445544555
"ASV_540",5.78088389274451e-05,0.00034972879716384,0.165296193496937,8.19820689843493e-06,0.000108254573595401,0.99751658939951,0.554455445544555
