"","num.reads","ASVs","max.props","detected"
"ASV_3589",2,"ASV_3589",9.24513474783895e-05,1
"ASV_3398",2,"ASV_3398",0.000104964836779679,1
"ASV_3554",2,"ASV_3554",0.00015390534821085,1
"ASV_3507",2,"ASV_3507",0.00013204806549584,1
"ASV_3372",2,"ASV_3372",0.000109188185838292,1
"ASV_3375",2,"ASV_3375",0.000121980970968529,1
"ASV_3419",2,"ASV_3419",0.000105730598435187,1
"ASV_3428",2,"ASV_3428",0.000100593501659793,1
"ASV_3483",2,"ASV_3483",9.60061443932412e-05,1
"ASV_3492",2,"ASV_3492",9.38350380031904e-05,1
"ASV_3499",2,"ASV_3499",0.000150262960180316,1
"ASV_3521",2,"ASV_3521",0.00012190661952944,1
"ASV_3528",2,"ASV_3528",0.000138026224982747,1
"ASV_3532",2,"ASV_3532",9.22977525497254e-05,1
"ASV_3533",2,"ASV_3533",9.22977525497254e-05,1
"ASV_3545",2,"ASV_3545",8.06679304642439e-05,1
"ASV_3555",2,"ASV_3555",0.000209030100334448,1
"ASV_3556",2,"ASV_3556",0.000111675693785248,1
"ASV_3594",2,"ASV_3594",9.09338910611985e-05,1
"ASV_3597",2,"ASV_3597",0.000119904076738609,1
"ASV_3626",2,"ASV_3626",9.63344732912673e-05,1
"ASV_3630",2,"ASV_3630",7.07188571832679e-05,1
"ASV_3651",2,"ASV_3651",0.000171511877197496,1
"ASV_3656",2,"ASV_3656",0.000134661998384056,1
"ASV_3661",2,"ASV_3661",8.89679715302491e-05,1
"ASV_3663",2,"ASV_3663",0.000131440588853838,1
"ASV_3665",2,"ASV_3665",0.000245068006371768,1
"ASV_3390",2,"ASV_3390",9.34055669717915e-05,1
"ASV_3459",2,"ASV_3459",0.000126350369574831,1
"ASV_3639",2,"ASV_3639",0.000111092595678498,1
"ASV_3536",2,"ASV_3536",8.65576040855189e-05,1
"ASV_3379",2,"ASV_3379",0.000116720163408229,1
"ASV_3433",2,"ASV_3433",0.000120438395760568,1
"ASV_3434",2,"ASV_3434",0.000207189474774681,1
"ASV_3485",2,"ASV_3485",0.00017082336863683,1
"ASV_3548",2,"ASV_3548",0.000182215743440233,1
"ASV_3592",2,"ASV_3592",0.0001161777519605,1
"ASV_3620",2,"ASV_3620",0.0001434617315831,1
"ASV_3632",2,"ASV_3632",9.979541939025e-05,1
"ASV_3511",2,"ASV_3511",0.000113090189426067,1
"ASV_3609",2,"ASV_3609",9.14829384319824e-05,1
"ASV_3641",2,"ASV_3641",8.18665575112566e-05,1
"ASV_3463",2,"ASV_3463",0.000115114538966271,1
"ASV_3470",2,"ASV_3470",0.0001360266612256,1
"ASV_3397",2,"ASV_3397",0.000104964836779679,1
"ASV_3407",2,"ASV_3407",0.000132837407013815,1
"ASV_3417",2,"ASV_3417",0.000193143408981169,1
"ASV_3464",2,"ASV_3464",0.000115114538966271,1
"ASV_3475",2,"ASV_3475",0.000104128703077003,1
"ASV_3487",2,"ASV_3487",0.000102759081333813,1
"ASV_3501",2,"ASV_3501",0.000129668049792531,1
"ASV_3508",2,"ASV_3508",0.00013204806549584,1
"ASV_3529",2,"ASV_3529",0.000134219179920811,1
"ASV_3531",2,"ASV_3531",0.000153350713080816,1
"ASV_3550",2,"ASV_3550",0.000101543460601137,1
"ASV_3605",2,"ASV_3605",0.000115386834362199,1
"ASV_3613",2,"ASV_3613",7.89920612978396e-05,1
"ASV_3659",2,"ASV_3659",9.8159509202454e-05,1
