"Estimate","Std..Error","t.value","Pr...t.."
"mu.(Intercept)",-7.7733781206526,0.346929464011075,-22.4062206500986,4.21557368098255e-66
"mu.trial_armPlacebo",-0.077755654339594,0.295035075734337,-0.263547153320878,0.792309212135588
"phi.(Intercept)",-4.38179040962648,0.357632679101134,-12.2522092238315,2.83260059986336e-28
"Estimate","Std..Error","t.value","Pr...t.."
"mu.(Intercept)",-9.59848451455104,0.547852190669253,-17.5202083299614,7.25463466697955e-48
"mu.trial_armPlacebo",-0.0883760893028274,0.485875549925033,-0.1818903818405,0.85579118322179
"phi.(Intercept)",-5.32706834272161,0.569142394750212,-9.35981643936327,1.92327079640031e-18
"Estimate","Std..Error","t.value","Pr...t.."
"mu.(Intercept)",-7.51436648364962,0.220237008814966,-34.1194539649913,1.86827252799395e-105
"mu.trial_armPlacebo",0.134996206986149,0.202194804340918,0.667654183430618,0.504865927737341
"phi.(Intercept)",-5.0254326781065,0.225875950853507,-22.248639835791,1.5895024391068e-65
"Estimate","Std..Error","t.value","Pr...t.."
"mu.(Intercept)",-7.33795007073136,0.231991020568871,-31.6303193664038,1.04843171186748e-97
"mu.trial_armPlacebo",-0.875257955985356,0.242240103139998,-3.61318355070019,0.000354343362333458
"phi.(Intercept)",-4.98146365119034,0.256770024622708,-19.4004874926892,5.9272205789087e-55
"Estimate","Std..Error","t.value","Pr...t.."
"mu.(Intercept)",-8.93672065175127,0.450863426378591,-19.8213475054574,1.56721158446599e-56
"mu.trial_armPlacebo",0.1076306020152,0.385092005549367,0.279493213217075,0.780058298977278
"phi.(Intercept)",-4.98184854365221,0.458878645550778,-10.8565708863454,2.16841745663347e-23
"Estimate","Std..Error","t.value","Pr...t.."
"mu.(Intercept)",-28.4097664298802,18912.7301305587,-0.00150215046869285,0.998802452837108
"mu.trial_armPlacebo",21.1250157519237,18912.7301001119,0.00111697336344892,0.999109524288042
"phi.(Intercept)",-1.5725954529307,1.36933880626928,-1.14843415357167,0.251701223794869
"Estimate","Std..Error","t.value","Pr...t.."
"mu.(Intercept)",-8.11697440895885,0.243764626351641,-33.2984097423953,6.17804597920867e-103
"mu.trial_armPlacebo",-0.511646128559222,0.250115956437315,-2.04563569572761,0.0416612260881465
"phi.(Intercept)",-5.61153774789424,0.267647088627783,-20.9661826574105,8.47597562149467e-61
"Estimate","Std..Error","t.value","Pr...t.."
"mu.(Intercept)",-7.28569307026053,0.214211654768284,-34.0116557996882,3.98278381604311e-105
"mu.trial_armPlacebo",-0.776485668946398,0.224253008208978,-3.46254293375098,0.000612651450121102
"phi.(Intercept)",-5.07687649043165,0.237505766197641,-21.3758030876897,2.58083874278474e-62
"Estimate","Std..Error","t.value","Pr...t.."
"mu.(Intercept)",-8.33204621022858,0.296417462724044,-28.1091610921232,3.59740424482973e-86
"mu.trial_armPlacebo",0.336562883725805,0.260138742614354,1.29378223460066,0.19673252829043
"phi.(Intercept)",-5.17025639488852,0.29570831884349,-17.4843116186561,9.91475663544499e-48
"Estimate","Std..Error","t.value","Pr...t.."
"mu.(Intercept)",-8.24688469359885,0.832393479191817,-9.90743548544598,3.271105762471e-20
"mu.trial_armPlacebo",-1.25130280737979,0.801866837656937,-1.56048703926466,0.119695584004576
"phi.(Intercept)",-3.34340730188998,0.888794983118457,-3.76173061886464,0.000202774209117832
"Estimate","Std..Error","t.value","Pr...t.."
"mu.(Intercept)",-7.98870958294206,0.289014002004079,-27.6412544982139,1.37914345999875e-84
"mu.trial_armPlacebo",-0.577286510044538,0.281534581102434,-2.05049947251239,0.0411814974145111
"phi.(Intercept)",-5.13001587870411,0.313045711569089,-16.3874338127514,1.38325586494005e-43
"Estimate","Std..Error","t.value","Pr...t.."
"mu.(Intercept)",-31.427964260784,25620.9239042728,-0.00122665226196401,0.999022085901876
"mu.trial_armPlacebo",22.3067192621933,25620.9238955749,0.000870644608801401,0.999305902927743
"phi.(Intercept)",-4.42960351548855,0.947584297849434,-4.67462739256196,4.45000156190081e-06
"Estimate","Std..Error","t.value","Pr...t.."
"mu.(Intercept)",-9.27131032893637,0.640584821691078,-14.4731970146608,2.12804972473244e-36
"mu.trial_armPlacebo",-1.09912585777227,0.666678142580169,-1.64866040683207,0.100260521542339
